0,1,2,3,4,5,6,7,8,9
  0.6095,  0.2190,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
  0.5582,  0.3406,  0.0314,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
  0.4389,  0.4156,  0.1044,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
  0.2986,  0.4380,  0.1903,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
  0.1708,  0.4157,  0.2685,  0.0162,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
  0.0748,  0.3627,  0.3272,  0.0548,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
  0.0180,  0.2932,  0.3620,  0.1054,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
  0.0000,  0.2192,  0.3730,  0.1592,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
  0.0000,  0.1498,  0.3634,  0.2097,  0.0070,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
  0.0000,  0.0910,  0.3378,  0.2525,  0.0257,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
  0.0000,  0.0461,  0.3010,  0.2852,  0.0526,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
  0.0000,  0.0165,  0.2575,  0.3067,  0.0843,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
  0.0000,  0.0020,  0.2115,  0.3173,  0.1179,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
  0.0000,  0.0000,  0.1661,  0.3178,  0.1511,  0.0007,  0.0000,  0.0000,  0.0000,  0.0000
  0.0000,  0.0000,  0.1240,  0.3095,  0.1818,  0.0067,  0.0000,  0.0000,  0.0000,  0.0000
  0.0000,  0.0000,  0.0868,  0.2941,  0.2090,  0.0180,  0.0000,  0.0000,  0.0000,  0.0000
  0.0000,  0.0000,  0.0558,  0.2730,  0.2316,  0.0334,  0.0000,  0.0000,  0.0000,  0.0000
  0.0000,  0.0000,  0.0316,  0.2481,  0.2493,  0.0516,  0.0000,  0.0000,  0.0000,  0.0000
  0.0000,  0.0000,  0.0143,  0.2206,  0.2619,  0.0717,  0.0000,  0.0000,  0.0000,  0.0000
  0.0000,  0.0000,  0.0039,  0.1919,  0.2695,  0.0926,  0.0000,  0.0000,  0.0000,  0.0000
  0.0000,  0.0000,  0.0001,  0.1632,  0.2723,  0.1136,  0.0000,  0.0000,  0.0000,  0.0000
  0.0000,  0.0000,  0.0000,  0.1353,  0.2708,  0.1339,  0.0011,  0.0000,  0.0000,  0.0000
  0.0000,  0.0000,  0.0000,  0.1091,  0.2654,  0.1531,  0.0051,  0.0000,  0.0000,  0.0000
  0.0000,  0.0000,  0.0000,  0.0851,  0.2567,  0.1706,  0.0114,  0.0000,  0.0000,  0.0000
  0.0000,  0.0000,  0.0000,  0.0638,  0.2452,  0.1862,  0.0199,  0.0000,  0.0000,  0.0000
  0.0000,  0.0000,  0.0000,  0.0454,  0.2314,  0.1996,  0.0299,  0.0000,  0.0000,  0.0000
  0.0000,  0.0000,  0.0000,  0.0301,  0.2158,  0.2108,  0.0413,  0.0000,  0.0000,  0.0000
  0.0000,  0.0000,  0.0000,  0.0180,  0.1991,  0.2196,  0.0535,  0.0000,  0.0000,  0.0000
  0.0000,  0.0000,  0.0000,  0.0091,  0.1815,  0.2261,  0.0664,  0.0000,  0.0000,  0.0000
  0.0000,  0.0000,  0.0000,  0.0032,  0.1635,  0.2304,  0.0795,  0.0000,  0.0000,  0.0000
  0.0000,  0.0000,  0.0000,  0.0004,  0.1456,  0.2325,  0.0926,  0.0000,  0.0000,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.1279,  0.2325,  0.1055,  0.0002,  0.0000,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.1108,  0.2307,  0.1180,  0.0015,  0.0000,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.0946,  0.2272,  0.1298,  0.0041,  0.0000,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.0793,  0.2221,  0.1410,  0.0078,  0.0000,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.0652,  0.2157,  0.1513,  0.0125,  0.0000,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.0523,  0.2081,  0.1607,  0.0180,  0.0000,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.0408,  0.1995,  0.1691,  0.0243,  0.0000,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.0307,  0.1900,  0.1764,  0.0312,  0.0000,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.0221,  0.1799,  0.1828,  0.0386,  0.0000,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.0149,  0.1694,  0.1880,  0.0463,  0.0000,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.0092,  0.1584,  0.1922,  0.0543,  0.0000,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.0049,  0.1473,  0.1953,  0.0624,  0.0000,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.0020,  0.1360,  0.1975,  0.0706,  0.0000,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.0004,  0.1248,  0.1986,  0.0788,  0.0000,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.1138,  0.1989,  0.0869,  0.0000,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.1029,  0.1982,  0.0948,  0.0005,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0924,  0.1968,  0.1025,  0.0016,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0823,  0.1945,  0.1099,  0.0032,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0726,  0.1916,  0.1170,  0.0054,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0634,  0.1880,  0.1237,  0.0080,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0547,  0.1838,  0.1300,  0.0110,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0467,  0.1791,  0.1359,  0.0145,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0392,  0.1739,  0.1413,  0.0183,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0324,  0.1683,  0.1463,  0.0224,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0262,  0.1623,  0.1508,  0.0267,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0207,  0.1561,  0.1548,  0.0313,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0159,  0.1496,  0.1584,  0.0360,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0117,  0.1429,  0.1614,  0.0409,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0082,  0.1361,  0.1640,  0.0459,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0053,  0.1291,  0.1661,  0.0510,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0031,  0.1221,  0.1677,  0.0561,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0015,  0.1151,  0.1689,  0.0613,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0004,  0.1081,  0.1696,  0.0664,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.1012,  0.1700,  0.0714,  0.0000
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0943,  0.1699,  0.0765,  0.0001
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0876,  0.1694,  0.0814,  0.0005
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0810,  0.1685,  0.0862,  0.0013
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0746,  0.1673,  0.0909,  0.0023
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0684,  0.1657,  0.0955,  0.0036
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0623,  0.1638,  0.0999,  0.0052
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0566,  0.1617,  0.1041,  0.0071
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0510,  0.1592,  0.1082,  0.0092
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0457,  0.1565,  0.1120,  0.0115
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0407,  0.1535,  0.1157,  0.0140
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0359,  0.1504,  0.1192,  0.0167
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0315,  0.1470,  0.1224,  0.0195
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0273,  0.1435,  0.1255,  0.0225
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0234,  0.1398,  0.1283,  0.0257
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0199,  0.1359,  0.1309,  0.0290
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0166,  0.1320,  0.1333,  0.0323
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0136,  0.1279,  0.1355,  0.0358
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0109,  0.1237,  0.1375,  0.0393
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0086,  0.1195,  0.1392,  0.0429
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0065,  0.1152,  0.1407,  0.0466
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0047,  0.1109,  0.1420,  0.0503
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0032,  0.1065,  0.1431,  0.0540
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0020,  0.1021,  0.1440,  0.0577
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0011,  0.0978,  0.1446,  0.0614
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0005,  0.0934,  0.1451,  0.0652
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0001,  0.0891,  0.1454,  0.0689
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0848,  0.1455,  0.0725
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0805,  0.1453,  0.0761
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0763,  0.1451,  0.0797
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0721,  0.1446,  0.0833
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0680,  0.1440,  0.0867
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0640,  0.1432,  0.0901
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0601,  0.1423,  0.0935
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0563,  0.1412,  0.0967
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0526,  0.1400,  0.0999
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0490,  0.1386,  0.1030
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0455,  0.1371,  0.1059
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0421,  0.1355,  0.1088
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0388,  0.1338,  0.1116
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0357,  0.1320,  0.1143
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0326,  0.1300,  0.1169
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0297,  0.1280,  0.1193
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0270,  0.1259,  0.1217
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0243,  0.1237,  0.1239
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0219,  0.1214,  0.1261
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0195,  0.1191,  0.1281
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0173,  0.1167,  0.1300
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0152,  0.1142,  0.1317
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0132,  0.1117,  0.1334
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0114,  0.1091,  0.1349
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0097,  0.1065,  0.1364
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0082,  0.1039,  0.1377
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0068,  0.1012,  0.1389
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0055,  0.0986,  0.1399
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0044,  0.0959,  0.1409
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0034,  0.0931,  0.1417
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0026,  0.0904,  0.1425
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0018,  0.0877,  0.1431
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0012,  0.0849,  0.1436
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0007,  0.0822,  0.1440
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0004,  0.0795,  0.1443
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0001,  0.0768,  0.1445
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0741,  0.1446
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0714,  0.1446
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0687,  0.1445
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0661,  0.1443
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0635,  0.1441
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0609,  0.1437
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0584,  0.1432
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0559,  0.1427
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0534,  0.1420
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0510,  0.1413
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0486,  0.1405
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0462,  0.1397
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0439,  0.1387
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0417,  0.1377
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0395,  0.1367
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0374,  0.1355
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0353,  0.1343
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0332,  0.1331
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0312,  0.1317
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0293,  0.1304
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0275,  0.1289
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0257,  0.1275
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0239,  0.1259
